ID,DaRioRA,DaRioDEC,ObjID,ra,dec,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,gMeanPSFmagNpt,rMeanPSFmagNpt,iMeanPSFmagNpt,zMeanPSFmagNpt,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect
"1","83.141625","-4.748792","102300831416141846","83.14162883","-4.74881277","19.2717","0.010186","17.2519","0.002331","16.0274","0.001283","15.3218","0.000886","5","8","7","14","16696","0.999562","16696","0.999211","16696","0.999062","16696","0.99967"
"2","83.142875","-4.940408","102070831428281934","83.14285464","-4.94041917","17.2075","0.003832","15.6659","0.00131","14.8","0.000851","14.3422","0.000613","2","4","4","10","16696","0.999218","16696","0.999563","16696","0.999003","16696","0.999407"
"3","83.144042","-4.665175","102400831440312228","83.14402654","-4.66515667","17.92","0.003646","16.4026","0.001334","15.4594","0.001125","14.8926","0.000785","7","9","5","11","16696","0.999361","16696","0.999681","16696","0.999664","16696","0.99946"
"4","83.146042","-6.093697","100680831462528153","83.14630478","-6.0935269","15.8728","0.001755","14.7461","0.000691","13.479","0.000577","12.9015","0.000579","3","6","3","3","16696","0.999334","16696","0.999204","16793912","0.999666","16793912","0.999685"
"5","83.150667","-5.011661","101980831506686493","83.15067589","-5.01159581","17.7687","0.005466","16.5506","0.001949","15.0306","0.000673","14.3534","0.000658","2","7","8","9","16696","0.999396","16696","0.999724","16696","0.998109","16696","0.999684"
"6","83.154833","-5.889314","100930831548143286","83.15476056","-5.88924111","14.5533","0.0006","13.8183","0.000621","13.7423","0.000427","13.4635","0.000502","7","3","6","7","16696","0.999769","16696","0.999432","16794168","0.998892","16696","0.999593"
"7","83.156042","-5.067314","101910831560299639","83.1560244","-5.06730647","15.7518","0.001954","14.5801","0.000695","13.9887","0.000575","13.6451","0.000586","2","5","4","6","16952","0.999002","16696","0.998976","16696","0.9986","16696","0.998905"
"8","83.156208","-5.211467","101740831561726688","83.15617781","-5.21141895","16.2574","0.001683","14.9631","0.000716","14.2877","0.000943","13.8389","0.000661","5","7","2","6","16696","0.99932","16696","0.998981","16696","0.999389","16696","0.999161"
"9","83.158542","-5.863447","100960831585334256","83.15853647","-5.86347232","15.9211","0.001123","14.703","0.000647","13.7948","0.000748","13.2224","0.000487","8","7","2","6","16696","0.999436","16696","0.999093","16793912","0.999673","16696","0.999734"
"12","83.171625","-5.857097","100970831716771868","83.17167296","-5.85712976","17.9102","0.003621","16.3811","0.001424","15.502","0.000669","14.9434","0.000943","7","9","14","8","16696","0.999603","16696","0.999641","16696","0.999325","16696","0.999634"
"15","83.177208","-5.093725","101880831772577937","83.17728052","-5.09372483","16.8069","0.001735","15.5768","0.000759","14.4596","0.000376","13.9744","0.000633","8","11","14","7","16696","0.999763","16696","0.999173","16696","0.999369","16696","0.999708"
"16","83.177792","-4.992028","102000831778169979","83.17780168","-4.9920302","15.5071","0.001019","14.4235","0.000471","13.8252","0.000746","13.3619","0.000859","6","9","2","2","16696","0.999338","16696","0.999294","16793912","0.998181","16696","0.999097"
"18","83.180917","-5.599228","101280831809281312","83.18090383","-5.59924635","17.5554","0.00423","15.9634","0.001278","14.6649","0.000512","13.8988","0.000452","4","7","10","12","16696","0.999472","16696","0.999814","16696","0.999669","16696","0.99966"
"19","83.183667","-5.497886","101400831836592882","83.18366106","-5.49795451","20.0564","0.015504","17.9421","0.003638","16.6603","0.001221","15.8125","0.00136","8","10","15","10","16696","0.99965","16696","0.999829","16696","0.998851","16696","0.999668"
"22","83.184958","-5.852806","100970831849486974","83.18493953","-5.85288608","15.3829","0.000978","14.4494","0.000516","14.1074","0.000366","13.8951","0.00052","6","8","11","10","16696","0.999429","16696","0.999803","16696","0.999384","16696","0.999118"
"25","83.193208","-5.003083","101990831932196715","83.19322369","-5.00308733","18.3529","0.005263","16.6345","0.001603","15.6297","0.000731","15.0591","0.001065","6","8","13","7","16696","0.999763","16696","0.99958","16696","0.999706","16696","0.999637"
"28","83.198375","-4.814514","102220831983903003","83.19840035","-4.81451934","16.8198","0.002389","15.6406","0.001126","14.3373","0.000425","13.7194","0.000454","4","6","10","11","16696","0.998836","16696","0.999211","16696","0.99972","16696","0.999096"
