ID,DaRioRA,DaRioDEC,ObjID,ra,dec,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,gMeanPSFmagNpt,rMeanPSFmagNpt,iMeanPSFmagNpt,zMeanPSFmagNpt,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect
"1","83.141625","-4.748792","102300831416141846","83.14162883","-4.74881277","19.2717","0.010186","17.2519","0.002331","16.0274","0.001283","15.3218","0.000886","5","8","7","14","16696","0.999562","16696","0.999211","16696","0.999062","16696","0.99967"
"1","83.141625","-4.748792","102300831418252394","83.1419602","-4.74838675","-999","-999","20.1378","0.084449","-999","-999","-999","-999","0","1","0","0","0","-999","4120","0.708594","0","-999","0","-999"
"1","83.141625","-4.748792","102300831419671618","83.14197891","-4.74898859","19.6557","0.046323","-999","-999","-999","-999","-999","-999","1","0","0","0","16","0.295041","0","-999","0","-999","0","-999"
"2","83.142875","-4.940408","102070831426271607","83.14262922","-4.94067287","18.7135","0.016946","-999","-999","-999","-999","-999","-999","1","0","0","0","4120","0.729781","0","-999","0","-999","0","-999"
"2","83.142875","-4.940408","102070831428281934","83.14285464","-4.94041917","17.2075","0.003832","15.6659","0.00131","14.8","0.000851","14.3422","0.000613","2","4","4","10","16696","0.999218","16696","0.999563","16696","0.999003","16696","0.999407"
"2","83.142875","-4.940408","102070831433371763","83.14335916","-4.9405588","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","0","-999","0","-999","0","-999"
"3","83.144042","-4.665175","102400831440312228","83.14402654","-4.66515667","17.92","0.003646","16.4026","0.001334","15.4594","0.001125","14.8926","0.000785","7","9","5","11","16696","0.999361","16696","0.999681","16696","0.999664","16696","0.99946"
"3","83.144042","-4.665175","102400831442211730","83.14422616","-4.66556505","-999","-999","-999","-999","-999","-999","17.5324","0.010898","0","0","0","1","0","-999","0","-999","0","-999","280","0.860391"
"4","83.146042","-6.093697","100680831460428386","83.14606176","-6.0933491","-999","-999","-999","-999","15.7455","0.002733","-999","-999","0","0","1","0","0","-999","0","-999","16777752","0.838301","0","-999"
"4","83.146042","-6.093697","100680831462528153","83.14630478","-6.0935269","15.8728","0.001755","14.7461","0.000691","13.479","0.000577","12.9015","0.000579","3","6","3","3","16696","0.999334","16696","0.999204","16793912","0.999666","16793912","0.999685"
"5","83.150667","-5.011661","101980831506686493","83.15067589","-5.01159581","17.7687","0.005466","16.5506","0.001949","15.0306","0.000673","14.3534","0.000658","2","7","8","9","16696","0.999396","16696","0.999724","16696","0.998109","16696","0.999684"
"5","83.150667","-5.011661","101980831510116022","83.15102531","-5.01199924","-999","-999","-999","-999","-999","-999","18.313","0.019389","0","0","0","1","0","-999","0","-999","0","-999","4120","0.664936"
"6","83.154833","-5.889314","100930831548143286","83.15476056","-5.88924111","14.5533","0.0006","13.8183","0.000621","13.7423","0.000427","13.4635","0.000502","7","3","6","7","16696","0.999769","16696","0.999432","16794168","0.998892","16696","0.999593"
"7","83.156042","-5.067314","101910831554939877","83.1554876","-5.06711326","-999","-999","-999","-999","17.4507","0.009721","-999","-999","0","0","1","0","0","-999","0","-999","16781336","0.494417","0","-999"
"7","83.156042","-5.067314","101910831560299639","83.1560244","-5.06730647","15.7518","0.001954","14.5801","0.000695","13.9887","0.000575","13.6451","0.000586","2","5","4","6","16952","0.999002","16696","0.998976","16696","0.9986","16696","0.998905"
"7","83.156042","-5.067314","101910831560328689","83.15602769","-5.06809613","20.3389","0.093125","-999","-999","-999","-999","-999","-999","1","0","0","0","4120","0.234148","0","-999","0","-999","0","-999"
"8","83.156208","-5.211467","101740831554006828","83.15540714","-5.21129243","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","0","-999","0","-999","0","-999"
"8","83.156208","-5.211467","101740831558767095","83.15590221","-5.21112508","-999","-999","17.208","0.043906","-999","-999","-999","-999","0","1","0","0","0","-999","16","0.173629","0","-999","0","-999"
"8","83.156208","-5.211467","101740831561726688","83.15617781","-5.21141895","16.2574","0.001683","14.9631","0.000716","14.2877","0.000943","13.8389","0.000661","5","7","2","6","16696","0.99932","16696","0.998981","16696","0.999389","16696","0.999161"
"8","83.156208","-5.211467","101740831562957364","83.15629946","-5.21085255","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","0","-999","0","-999","0","-999"
"8","83.156208","-5.211467","101740831565766795","83.15658946","-5.21133449","-999","-999","-999","-999","-999","-999","16.566","0.007675","0","0","0","1","0","-999","0","-999","0","-999","4120","0.574474"
"9","83.158542","-5.863447","100960831585334256","83.15853647","-5.86347232","15.9211","0.001123","14.703","0.000647","13.7948","0.000748","13.2224","0.000487","8","7","2","6","16696","0.999436","16696","0.999093","16793912","0.999673","16696","0.999734"
"10","83.16025","-5.521692","101370831599194260","83.15993648","-5.52177992","-999","-999","12.5475","0.001","-999","-999","-999","-999","0","1","0","0","16416","-999","16432","0.189205","32","-999","16416","-999"
"10","83.16025","-5.521692","101370831599194631","83.15989912","-5.52150062","-999","-999","13.8262","0.004407","-999","-999","-999","-999","0","2","0","0","0","-999","4120","0.575796","0","-999","0","-999"
